Ref,x,y,z
0,0,10,0
1,0,11,0
2,0,12,0
3,0,13,0
4,0,14,0
5,0,15,0
6,0,16,0
7,1,10,0
8,1,11,0
9,1,12,0
10,1,13,0
11,1,14,0
12,1,15,0
13,1,16,0
14,2,10,0
15,2,11,0
16,2,12,0
17,2,13,0
18,2,14,0
19,2,15,0
20,2,16,0
21,3,10,0
22,3,11,0
23,3,12,0
24,3,13,0
25,3,14,0
26,3,15,0
27,3,16,0
28,4,10,0
29,4,11,0
30,4,12,0
31,4,13,0
32,4,14,0
33,4,15,0
34,4,16,0
35,5,10,0
36,5,11,0
37,5,12,0
38,5,13,0
39,5,14,0
40,5,15,0
41,5,16,0
42,6,10,0
43,6,11,0
44,6,12,0
45,6,13,0
46,6,14,0
47,6,15,0
48,6,16,0
49,7,10,0
50,7,11,0
51,7,12,0
52,7,13,0
53,7,14,0
54,7,15,0
55,7,16,0
56,8,10,0
57,8,11,0
58,8,12,0
59,8,13,0
60,8,14,0
61,8,15,0
62,8,16,0
63,12,0,0
64,12,1,0
65,12,2,0
66,12,3,0
67,12,4,0
68,12,5,0
69,12,6,0
70,12,7,0
71,12,8,0
72,12,9,0
73,12,10,0
74,12,11,0
75,12,12,0
76,12,13,0
77,12,14,0
78,12,15,0
79,12,16,0
80,12,17,0
81,13,0,0
82,13,1,0
83,13,2,0
84,13,3,0
85,13,4,0
86,13,5,0
87,13,6,0
88,13,7,0
89,13,8,0
90,13,9,0
91,13,10,0
92,13,11,0
93,13,12,0
94,13,13,0
95,13,14,0
96,13,15,0
97,13,16,0
98,13,17,0
99,14,0,0
100,14,1,0
101,14,2,0
102,14,3,0
103,14,4,0
104,14,5,0
105,14,6,0
106,14,7,0
107,14,8,0
108,14,9,0
109,14,10,0
110,14,11,0
111,14,12,0
112,14,13,0
113,14,14,0
114,14,15,0
115,14,16,0
116,14,17,0
117,15,0,0
118,15,1,0
119,15,2,0
120,15,3,0
121,15,4,0
122,15,5,0
123,15,6,0
124,15,7,0
125,15,8,0
126,15,9,0
127,15,10,0
128,15,11,0
129,15,12,0
130,15,13,0
131,15,14,0
132,15,15,0
133,15,16,0
134,15,17,0
135,16,0,0
136,16,1,0
137,16,2,0
138,16,3,0
139,16,4,0
140,16,5,0
141,16,6,0
142,16,7,0
143,16,8,0
144,16,9,0
145,16,10,0
146,16,11,0
147,16,12,0
148,16,13,0
149,16,14,0
150,16,15,0
151,16,16,0
152,16,17,0
153,17,0,0
154,17,1,0
155,17,2,0
156,17,3,0
157,17,4,0
158,17,5,0
159,17,6,0
160,17,7,0
161,17,8,0
162,17,9,0
163,17,10,0
164,17,11,0
165,17,12,0
166,17,13,0
167,17,14,0
168,17,15,0
169,17,16,0
170,17,17,0
171,0,10,1
172,0,11,1
173,0,12,1
174,0,13,1
175,0,14,1
176,0,15,1
177,0,16,1
178,1,10,1
179,1,11,1
180,1,12,1
181,1,13,1
182,1,14,1
183,1,15,1
184,1,16,1
185,2,10,1
186,2,11,1
187,2,12,1
188,2,13,1
189,2,14,1
190,2,15,1
191,2,16,1
192,3,10,1
193,3,11,1
194,3,12,1
195,3,13,1
196,3,14,1
197,3,15,1
198,3,16,1
199,4,10,1
200,4,11,1
201,4,12,1
202,4,13,1
203,4,14,1
204,4,15,1
205,4,16,1
206,5,10,1
207,5,11,1
208,5,12,1
209,5,13,1
210,5,14,1
211,5,15,1
212,5,16,1
213,6,10,1
214,6,11,1
215,6,12,1
216,6,13,1
217,6,14,1
218,6,15,1
219,6,16,1
220,7,10,1
221,7,11,1
222,7,12,1
223,7,13,1
224,7,14,1
225,7,15,1
226,7,16,1
227,8,10,1
228,8,11,1
229,8,12,1
230,8,13,1
231,8,14,1
232,8,15,1
233,8,16,1
234,12,0,1
235,12,1,1
236,12,2,1
237,12,3,1
238,12,4,1
239,12,5,1
240,12,6,1
241,12,7,1
242,12,8,1
243,12,9,1
244,12,10,1
245,12,11,1
246,12,12,1
247,12,13,1
248,12,14,1
249,12,15,1
250,12,16,1
251,12,17,1
252,13,0,1
253,13,1,1
254,13,2,1
255,13,3,1
256,13,4,1
257,13,5,1
258,13,6,1
259,13,7,1
260,13,8,1
261,13,9,1
262,13,10,1
263,13,11,1
264,13,12,1
265,13,13,1
266,13,14,1
267,13,15,1
268,13,16,1
269,13,17,1
270,14,0,1
271,14,1,1
272,14,2,1
273,14,3,1
274,14,4,1
275,14,5,1
276,14,6,1
277,14,7,1
278,14,8,1
279,14,9,1
280,14,10,1
281,14,11,1
282,14,12,1
283,14,13,1
284,14,14,1
285,14,15,1
286,14,16,1
287,14,17,1
288,15,0,1
289,15,1,1
290,15,2,1
291,15,3,1
292,15,4,1
293,15,5,1
294,15,6,1
295,15,7,1
296,15,8,1
297,15,9,1
298,15,10,1
299,15,11,1
300,15,12,1
301,15,13,1
302,15,14,1
303,15,15,1
304,15,16,1
305,15,17,1
306,16,0,1
307,16,1,1
308,16,2,1
309,16,3,1
310,16,4,1
311,16,5,1
312,16,6,1
313,16,7,1
314,16,8,1
315,16,9,1
316,16,10,1
317,16,11,1
318,16,12,1
319,16,13,1
320,16,14,1
321,16,15,1
322,16,16,1
323,16,17,1
324,17,0,1
325,17,1,1
326,17,2,1
327,17,3,1
328,17,4,1
329,17,5,1
330,17,6,1
331,17,7,1
332,17,8,1
333,17,9,1
334,17,10,1
335,17,11,1
336,17,12,1
