Ref,x,y,z
0,0,0,4
1,0,0,2
2,0,0,4
3,0,0,2
4,0,0,4
5,-2,0,0
6,-4,0,0
7,-3,0,0
8,-5,0,0
9,0,3,0
10,0,0,5
11,0,0,3
12,0,0,5
13,0,0,3
14,0,0,1
15,0,-3,0
16,0,-1,0
17,0,-3,0
18,0,-2,0
19,0,4,0
20,0,0,2
21,0,0,4
22,0,0,2
23,0,0,4
24,0,0,2
25,0,-4,0
26,0,-2,0
27,0,-4,0
28,0,-2,0
29,0,5,0
30,0,0,3
31,0,0,5
32,0,0,3
33,0,0,5
34,0,0,3
35,0,-1,0
36,0,-3,0
37,0,-1,0
38,0,-3,0
39,0,1,0
40,0,0,3
41,0,0,2
42,0,0,4
43,0,0,2
44,0,0,4
45,0,-2,0
46,0,-4,0
47,0,-2,0
48,0,-4,0
49,0,2,0
50,0,0,4
51,0,0,2
52,0,0,5
53,0,0,3
54,0,0,5
55,0,0,3
56,0,0,5
57,0,0,3
58,0,0,1
59,0,0,3
60,0,0,1
61,0,0,3
62,0,0,1
63,0,0,4
64,0,0,2
65,0,0,4
66,0,0,2
67,0,0,4
68,0,0,2
69,0,0,4
70,0,0,2
71,0,0,4
72,0,0,2
73,0,0,4
74,0,0,3
75,0,0,5
76,0,0,3
77,0,0,5
78,0,0,3
79,0,0,5
80,0,0,3
81,0,0,1
82,0,0,3
83,0,0,1
84,0,0,3
85,0,0,2
86,0,0,4
87,0,0,2
88,0,0,4
89,0,0,2
90,0,0,4
91,0,0,2
92,0,0,4
93,0,0,2
94,0,0,4
95,0,0,2
96,0,0,5
97,0,0,3
98,0,0,5
99,0,0,3
100,0,0,5
101,0,0,3
102,0,0,1
103,0,0,3
104,0,0,1
105,0,0,3
106,0,0,1
107,0,0,4
108,0,0,2
109,0,0,4
110,0,0,2
111,0,0,4
112,0,0,2
113,0,0,4
114,0,0,2
115,0,0,4
116,0,0,2
117,0,0,4
118,0,0,2
119,0,0,5
120,0,0,3
121,0,0,5
122,0,0,3
123,0,0,5
124,0,0,3
125,0,0,1
126,0,0,3
127,0,0,1
128,0,0,3
129,0,0,1
130,0,0,-4
131,0,0,2
132,0,0,4
133,0,0,2
134,0,0,4
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,2
141,0,0,4
